,Title,Author,Rating,Number of Reviews
0,The Hunger Games,Suzanne Collins,4.32,7064350
1,Harry Potter and the Order of the Phoenix,J.K. Rowling,4.5,2811230
2,To Kill a Mockingbird,Harper Lee,4.27,5031426
3,Pride and Prejudice,Jane Austen,4.27,3411893
4,Twilight,Stephenie Meyer,3.62,5497741
5,The Book Thief,Markus Zusak,4.38,2074483
6,Animal Farm,George Orwell,3.97,3109117
7,The Chronicles of Narnia,C.S. Lewis,4.25,575135
8,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.6,119710
9,The Fault in Our Stars,John Green,4.18,4072182
10,Gone with the Wind,Margaret Mitchell,4.3,1136253
11,The Hitchhiker's Guide to the Galaxy,Douglas Adams,4.22,1591371
12,The Giving Tree,Shel Silverstein,4.37,989542
13,Wuthering Heights,Emily Brontë,3.87,1493070
14,The Picture of Dorian Gray,Oscar Wilde,4.1,1124681
15,The Da Vinci Code,Dan Brown,3.88,2096965
16,Jane Eyre,Charlotte Brontë,4.13,1787580
17,Memoirs of a Geisha,Arthur Golden,4.13,1823226
18,Alice's Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,4.06,501076
19,Les Misérables,Victor Hugo,4.18,727815
20,The Perks of Being a Wallflower,Stephen Chbosky,4.21,1421180
21,Fahrenheit 451,Ray Bradbury,3.98,1922159
22,Divergent,Veronica Roth,4.17,3280053
23,Harry Potter and the Sorcerer's Stone,J.K. Rowling,4.47,8043105
24,The Great Gatsby,F. Scott Fitzgerald,3.93,4222447
25,The Alchemist,Paulo Coelho,3.89,2404482
26,Lord of the Flies,William Golding,3.69,2487356
27,Crime and Punishment,Fyodor Dostoevsky,4.23,715680
28,Romeo and Juliet,William Shakespeare,3.75,2236034
29,The Little Prince,Antoine de Saint-Exupéry,4.31,1618559
30,City of Bones,Cassandra Clare,4.08,1779149
31,Anne of Green Gables,L.M. Montgomery,4.27,823233
32,The Help,Kathryn Stockett,4.46,2366401
33,Ender's Game,Orson Scott Card,4.3,1230638
34,The Lightning Thief,Rick Riordan,4.27,2305573
35,Charlotte's Web,E.B. White,4.18,1570325
36,Of Mice and Men,John Steinbeck,3.88,2132438
37,Dracula,Bram Stoker,4.0,1050173
38,The Time Traveler's Wife,Audrey Niffenegger,3.98,1662868
39,Brave New World,Aldous Huxley,3.99,1591301
40,One Hundred Years of Solitude,Gabriel García Márquez,4.09,827657
41,The Catcher in the Rye,J.D. Salinger,3.81,2999327
42,The Princess Bride,William Goldman,4.25,835233
43,A Thousand Splendid Suns,Khaled Hosseini,4.39,1277581
44,The Secret Garden,Frances Hodgson Burnett,4.13,997728
45,A Game of Thrones,George R.R. Martin,4.44,2172793
46,A Wrinkle in Time,Madeleine L'Engle,3.99,1113208
47,The Outsiders,S.E. Hinton,4.1,1066926
48,The Adventures of Huckleberry Finn,Mark Twain,3.82,1200553
49,The Lovely Bones,Alice Sebold,3.83,2149861
50,The Odyssey,Homer,3.78,930598
51,Where the Wild Things Are,Maurice Sendak,4.22,894591
52,Green Eggs and Ham,Dr. Seuss,4.29,684201
53,Life of Pi,Yann Martel,3.92,1444818
54,A Tale of Two Cities,Charles Dickens,3.86,861513
55,The Kite Runner,Khaled Hosseini,4.32,2667738
56,Water for Elephants,Sara Gruen,4.09,1472645
57,Lolita,Vladimir Nabokov,3.88,724356
58,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.83,1294556
59,The Handmaid's Tale,Margaret Atwood,4.12,1661767
60,Slaughterhouse-Five,Kurt Vonnegut Jr.,4.08,1218836
61,The Giver,Lois Lowry,4.13,2013692
62,Dune,Frank Herbert,4.24,972342
63,Little Women,Louisa May Alcott,4.11,1856503
64,Harry Potter and the Deathly Hallows,J.K. Rowling,4.61,3122727
65,1984,George Orwell,4.19,3615131
66,Catch-22,Joseph Heller,3.98,768129
67,The Stand,Stephen King,4.33,680471
68,The Pillars of the Earth,Ken Follett,4.32,695659
69,The Adventures of Sherlock Holmes,Arthur Conan Doyle,4.29,269182
70,Watership Down,Richard  Adams,4.06,456270
71,Great Expectations,Charles Dickens,3.79,706904
72,The Bell Jar,Sylvia Plath,4.02,682636
73,Matilda,Roald Dahl,4.32,755556
74,Anna Karenina,Leo Tolstoy,4.06,730920
75,The Fellowship of the Ring,J.R.R. Tolkien,4.37,2524014
76,One Flew Over the Cuckoo's Nest,Ken Kesey,4.19,675364
77,Outlander,Diana Gabaldon,4.23,914782
78,The Girl with the Dragon Tattoo,Stieg Larsson,4.15,2839304
79,Rebecca,Daphne du Maurier,4.23,526172
80,My Sister's Keeper,Jodi Picoult,4.08,1115261
81,The Color Purple,Alice Walker,4.24,575785
82,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,4.57,3241727
83,A Tree Grows in Brooklyn,Betty  Smith,4.28,414642
84,The Brothers Karamazov,Fyodor Dostoevsky,4.32,272309
85,A Clockwork Orange,Anthony Burgess,3.99,654581
86,The Road,Cormac McCarthy,3.97,783938
87,Angela's Ashes,Frank McCourt,4.12,578533
88,Vampire Academy,Richelle Mead,4.11,602791
89,Siddhartha,Hermann Hesse,4.04,647941
90,The Poisonwood Bible,Barbara Kingsolver,4.07,689495
91,The Golden Compass,Philip Pullman,4.0,1385569
92,Don Quixote,Miguel de Cervantes Saavedra,3.88,233510
93,Atlas Shrugged,Ayn Rand,3.69,370399
94,The Old Man and the Sea,Ernest Hemingway,3.79,934523
95,The Notebook,Nicholas Sparks,4.12,1446113
96,Winnie-the-Pooh,A.A. Milne,4.31,299295
97,The Complete Stories and Poems,Edgar Allan Poe,4.37,238276
98,Interview with the Vampire,Anne Rice,4.0,522803
99,A Prayer for Owen Meany,John Irving,4.23,297797
100,"Moby-Dick or, the Whale",Herman Melville,3.52,505735
101,Harry Potter and the Goblet of Fire,J.K. Rowling,4.56,2919299
102,Harry Potter and the Half-Blood Prince,J.K. Rowling,4.57,2724882
103,Clockwork Angel,Cassandra Clare,4.3,755966
104,The Secret Life of Bees,Sue Monk Kidd,4.07,1183762
105,The Red Tent,Anita Diamant,4.18,550347
106,And Then There Were None,Agatha Christie,4.27,998129
107,The Stranger,Albert Camus,3.99,813892
108,The Shining,Stephen King,4.24,1252841
109,The Master and Margarita,Mikhail Bulgakov,4.28,277904
110,The Name of the Wind,Patrick Rothfuss,4.51,806165
111,Middlesex,Jeffrey Eugenides,4.01,608665
112,Eragon,Christopher Paolini,3.92,1560431
113,Flowers for Algernon,Daniel Keyes,4.16,538174
114,The Adventures of Tom Sawyer,Mark Twain,3.92,824099
115,Harry Potter and the Chamber of Secrets,J.K. Rowling,4.43,3103882
116,The Metamorphosis,Franz Kafka,3.83,751072
117,Charlie and the Chocolate Factory,Roald Dahl,4.14,739153
118,Looking for Alaska,John Green,4.0,1276352
119,The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89,1308293
120,The Shadow of the Wind,Carlos Ruiz Zafón,4.27,534240
121,On the Road,Jack Kerouac,3.62,375541
122,The Very Hungry Caterpillar,Eric Carle,4.29,440492
123,Tuesdays with Morrie,Mitch Albom,4.12,859093
124,The Unbearable Lightness of Being,Milan Kundera,4.1,381475
125,The Name of the Rose,Umberto Eco,4.13,330243
126,Where the Red Fern Grows,Wilson Rawls,4.08,368925
127,The Godfather,Mario Puzo,4.36,370860
128,The Scarlet Letter,Nathaniel Hawthorne,3.42,761152
129,The Count of Monte Cristo,Alexandre Dumas,4.26,806698
130,In Cold Blood,Truman Capote,4.06,588987
131,The Last Olympian,Rick Riordan,4.5,780083
132,Fight Club,Chuck Palahniuk,4.18,538298
133,"The Lion, the Witch and the Wardrobe",C.S. Lewis,4.22,2357898
134,The Five People You Meet in Heaven,Mitch Albom,3.95,625445
135,It,Stephen King,4.24,908245
136,"The Hobbit, or There and Back Again",J.R.R. Tolkien,4.28,3223276
137,Perfume: The Story of a Murderer,Patrick Süskind,4.02,384383
138,"Hush, Hush",Becca Fitzpatrick,3.94,640882
139,Holes,Louis Sachar,3.98,1058659
140,The Cat in the Hat,Dr. Seuss,4.16,480658
141,American Gods,Neil Gaiman,4.1,828136
142,Lonesome Dove,Larry McMurtry,4.48,165807
143,Watchmen,Alan Moore,4.37,513049
144,The Divine Comedy,Dante Alighieri,4.04,135738
145,The Addiction Manifesto,Jerry Weaver,4.98,1009
146,The Little House Collection,Laura Ingalls Wilder,4.34,147424
147,All Quiet on the Western Front,Erich Maria Remarque,4.0,381402
148,Peter Pan,J.M. Barrie,4.02,314934
149,Love in the Time of Cholera,Gabriel García Márquez,3.92,448839
150,Insurgent,Veronica Roth,4.0,1297573
151,The Compleat Works of Wllm Shkspr,Reduced Shakespeare Company,4.44,8678
152,The Thorn Birds,Colleen McCullough,4.22,333394
153,A Walk to Remember,Nicholas Sparks,4.18,727126
154,Shadow Kiss,Richelle Mead,4.32,353147
155,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,4.24,615710
156,How the Grinch Stole Christmas!,Dr. Seuss,4.34,366347
157,The Importance of Being Earnest,Oscar Wilde,4.17,326585
158,Their Eyes Were Watching God,Zora Neale Hurston,3.96,293256
159,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,4.35,307471
160,"Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia",Elizabeth Gilbert,3.59,1588207
161,Atonement,Ian McEwan,3.91,473647
162,The Wonderful Wizard of Oz,L. Frank Baum,3.97,410540
163,The Three Musketeers,Alexandre Dumas,4.07,293389
164,Clockwork Princess,Cassandra Clare,4.54,395980
165,Frostbite,Richelle Mead,4.24,339541
166,The Battle of the Labyrinth,Rick Riordan,4.39,853487
167,Goodnight Moon,Margaret Wise Brown,4.28,334237
168,The Lorax,Dr. Seuss,4.32,312579
169,The Titan's Curse,Rick Riordan,4.34,805516
170,A Midsummer Night's Dream,William Shakespeare,3.95,477186
171,Blood Promise,Richelle Mead,4.29,302897
172,Tess of the D'Urbervilles,Thomas Hardy,3.81,253725
173,The Sea of Monsters,Rick Riordan,4.24,879425
174,Heart of Darkness,Joseph Conrad,3.44,454332
175,The Good Earth,Pearl S. Buck,3.99,233877
176,The Prophet,Kahlil Gibran,4.21,261383
177,The Maze Runner,James Dashner,4.03,1223432
178,The Mists of Avalon,Marion Zimmer Bradley,4.11,202290
179,The Hunger Games Trilogy Boxset,Suzanne Collins,4.48,199231
180,The Call of the Wild,Jack London,3.88,374306
181,Alice in Wonderland,Jane Carruth,4.02,389468
182,Bridge to Terabithia,Katherine Paterson,4.01,490203
183,The Joy Luck Club,Amy Tan,3.94,629365
184,Madame Bovary,Gustave Flaubert,3.69,281910
185,Jonathan Livingston Seagull,Richard Bach,3.85,222397
186,The Phantom Tollbooth,Norton Juster,4.16,271558
187,Oliver Twist,Charles Dickens,3.87,347143
188,"Oh, the Places You'll Go!",Dr. Seuss,4.33,363053
189,The Girl Who Played with Fire,Stieg Larsson,4.24,863155
190,The Neverending Story,Michael Ende,4.15,185018
191,Treasure Island,Robert Louis Stevenson,3.84,435968
192,Ulysses,James Joyce,3.73,118776
193,Fifty Shades of Grey,E.L. James,3.66,2171163
194,A Storm of Swords,George R.R. Martin,4.53,705745
195,Murder on the Orient Express,Agatha Christie,4.18,461071
196,The Clan of the Cave Bear,Jean M. Auel,4.07,244388
197,The Canterbury Tales,Geoffrey Chaucer,3.52,203535
198,The World According to Garp,John Irving,4.09,212938
199,A Farewell to Arms,Ernest Hemingway,3.81,282935
